,title,year,rating,metascore,certificate,votes,runtime,gener,director,star1,star2,star3,star4,gross
234,Padmaavat,2018,7.0,63,UA,"28,029",164 min,"Drama, History, Romance            ",Sanjay Leela Bhansali,Deepika Padukone,Ranveer Singh,Shahid Kapoor,Aditi Rao Hydari,$11.85M
235,Sultan,2016,7.0,na,UA,"38,354",170 min,"Action, Drama, Sport            ",Ali Abbas Zafar,Salman Khan,Anushka Sharma,Randeep Hooda,Kubbra Sait,$6.20M
236,Fan,I) (,7.0,na,UA,"42,599",142 min,"Action, Drama, Thriller            ",Maneesh Sharma,Shah Rukh Khan,Sayani Gupta,Carolina Main,Shriya Pilgaonkar,$1.36M
237,Aashiqui 2,2013,7.0,na,U,"26,950",132 min,"Drama, Music, Musical            ",Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa,Salil Acharya,0
238,Million Dollar Arm,2014,7.0,56,PG,"43,965",124 min,"Biography, Drama, Sport            ",Craig Gillespie,Jon Hamm,Aasif Mandvi,Alan Arkin,Suraj Sharma,$36.45M
239,Dhobi Ghat,2010,7.0,55,A,"12,580",100 min,Drama            ,Kiran Rao,Prateik,Monica Dogra,Kriti Malhotra,Aamir Khan,$0.58M
240,AK vs AK,2020,7.0,na,16,"11,802",108 min,"Action, Comedy, Crime            ",Vikramaditya Motwane,Anil Kapoor,Anurag Kashyap,Sonam Kapoor,Harshvardhan Kapoor,0
241,Outsourced,2006,7.0,70,PG-13,"11,374",103 min,"Comedy, Drama, Romance            ",John Jeffcoat,Josh Hamilton,Ayesha Dharker,Asif Basra,Matt Smith,$0.16M
242,Hum Tum,2004,7.0,na,U,"13,360",143 min,"Comedy, Drama, Romance            ",Kunal Kohli,Saif Ali Khan,Rani Mukerji,Kirron Kher,Rati Agnihotri,$0.35M
243,Main Hoon Na,2004,7.0,na,UA,"32,617",179 min,"Action, Comedy, Drama            ",Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan,$1.72M
244,Pardes,1997,7.0,na,U,"13,830",191 min,"Drama, Musical, Romance            ",Subhash Ghai,Shah Rukh Khan,Mahima Chaudhry,Amrish Puri,Apoorva Agnihotri,0
245,Dil To Pagal Hai,1997,7.0,na,U,"20,921",180 min,"Comedy, Drama, Musical            ",Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor,Akshay Kumar,0
246,The Half of It,I) (,6.9,74,13,"29,757",104 min,"Comedy, Drama, Romance            ",Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Wolfgang Novogratz,0
247,Mulk,I) (,6.9,na,UA,"13,988",140 min,Drama            ,Anubhav Sinha,Taapsee Pannu,Ashutosh Rana,Rishi Kapoor,Prateik,0
248,The Lion King,2019,6.9,55,U,"217,344",118 min,"Animation, Adventure, Drama            ",Jon Favreau,Donald Glover,Beyoncé,Seth Rogen,Chiwetel Ejiofor,$543.64M
249,Ocean's Eight,2018,6.9,61,UA,"192,158",110 min,"Action, Comedy, Crime            ",Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling,$140.22M
250,Dil Dhadakne Do,2015,6.9,na,UA,"15,366",170 min,"Comedy, Drama, Romance            ",Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra,Ranveer Singh,0
251,Fukrey,2013,6.9,na,UA,"10,610",139 min,"Comedy, Drama, Romance            ",Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal,Varun Sharma,$0.12M
252,2 States,2014,6.9,na,UA,"23,714",149 min,"Comedy, Drama, Romance            ",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,Revathi,$2.22M
253,Agneepath,2012,6.9,na,UA,"22,592",174 min,"Action, Crime, Drama            ",Karan Malhotra,Hrithik Roshan,Priyanka Chopra,Sanjay Dutt,Rishi Kapoor,$1.98M
254,Fashion,2008,6.9,na,A,"11,793",167 min,"Drama, Romance            ",Madhur Bhandarkar,Priyanka Chopra,Kangana Ranaut,Mugdha Godse,Arbaaz Khan,$0.19M
255,Welcome,I) (,6.9,na,UA,"18,897",159 min,"Comedy, Romance            ",Anees Bazmee,Akshay Kumar,Katrina Kaif,Nana Patekar,Anil Kapoor,$1.09M
256,Phir Hera Pheri,2006,6.9,na,UA,"18,544",153 min,"Comedy, Crime            ",Neeraj Vora,Akshay Kumar,Sunil Shetty,Paresh Rawal,Bipasha Basu,0
257,Kaho Naa... Pyaar Hai,2000,6.9,na,U,"13,939",172 min,"Action, Musical, Romance            ",Rakesh Roshan,Hrithik Roshan,Ameesha Patel,Anupam Kher,Dalip Tahil,$0.36M
258,Baadshah,1999,6.9,na,UA,"16,998",175 min,"Action, Comedy, Crime            ",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Twinkle Khanna,Amrish Puri,0
259,The Ghost and the Darkness,1996,6.9,na,A,"56,923",110 min,"Adventure, Drama, Thriller            ",Stephen Hopkins,Michael Douglas,Val Kilmer,Tom Wilkinson,John Kani,$38.62M
260,Victoria & Abdul,2017,6.8,58,UA,"32,582",111 min,"Biography, Drama, History            ",Stephen Frears,Judi Dench,Ali Fazal,Tim Pigott-Smith,Eddie Izzard,$22.25M
261,Raees,2017,6.8,na,UA,"40,690",143 min,"Action, Crime, Drama            ",Rahul Dholakia,Raj Arjun,Shubham Chintamani,Shubham Tukaram,Yug,$3.26M
262,Hasee Toh Phasee,2014,6.8,na,UA,"13,678",141 min,"Comedy, Romance            ",Vinil Mathew,Sidharth Malhotra,Parineeti Chopra,Adah Sharma,Manoj Joshi,$0.34M
263,Singham,2011,6.8,na,UA,"14,487",143 min,"Action, Crime, Drama            ",Rohit Shetty,Ajay Devgn,Kajal Aggarwal,Prakash Raj,Sonali Kulkarni,$0.35M
264,Tanu Weds Manu,2011,6.8,na,UA,"13,615",113 min,"Comedy, Drama, Romance            ",Aanand L. Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill,Deepak Dobriyal,0
265,New York,2009,6.8,35,UA,"10,407",153 min,"Crime, Drama, Thriller            ",Kabir Khan,John Abraham,Katrina Kaif,Neil Nitin Mukesh,Irrfan Khan,$0.98M
266,Love Aaj Kal,2009,6.8,na,UA,"15,047",128 min,"Comedy, Drama, Romance            ",Imtiaz Ali,Saif Ali Khan,Deepika Padukone,Rishi Kapoor,Rahul Khanna,$2.43M
267,Thappad,I) (,6.8,na,U,"14,605",142 min,Drama            ,Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra,Ratna Pathak Shah,0
268,Yes Boss,1997,6.8,na,U,"12,570",163 min,"Comedy, Drama, Musical            ",Aziz Mirza,Shah Rukh Khan,Juhi Chawla,Aditya Pancholi,Kashmira Shah,0
269,Beavis and Butt-Head Do America,1996,6.8,64,PG-13,"51,896",81 min,"Animation, Adventure, Comedy            ",Mike Judge,Mike de Seve,Brian Mulroney,Yvette Kaplan,Mike Judge,$63.07M
270,Karan Arjun,1995,6.8,na,UA,"13,048",175 min,"Action, Drama, Fantasy            ",Rakesh Roshan,Rakhee Gulzar,Salman Khan,Shah Rukh Khan,Amrish Puri,0
271,Extraction,2020,6.7,56,18,"165,405",116 min,"Action, Thriller            ",Sam Hargrave,Chris Hemsworth,Bryon Lerum,Ryder Lerum,Rudhraksh Jaiswal,0
272,Jab Tak Hai Jaan,2012,6.7,na,UA,"51,622",198 min,"Drama, Romance            ",Yash Chopra,Shah Rukh Khan,Katrina Kaif,Anushka Sharma,Anupam Kher,$3.05M
273,Zombieland: Double Tap,2019,6.7,55,A,"145,242",99 min,"Action, Adventure, Comedy            ",Ruben Fleischer,Woody Harrelson,Jesse Eisenberg,Emma Stone,Abigail Breslin,$26.80M
274,Om Shanti Om,2007,6.7,na,UA,"39,442",162 min,"Action, Comedy, Drama            ",Farah Khan,Shah Rukh Khan,Deepika Padukone,Arjun Rampal,Kirron Kher,$3.60M
275,Race,I) (,6.7,na,A,"13,212",149 min,"Action, Crime, Drama            ",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Akshaye Khanna,Bipasha Basu,$1.37M
276,Garam Masala,2005,6.7,na,UA,"14,112",146 min,Comedy            ,Priyadarshan,Akshay Kumar,John Abraham,Paresh Rawal,Rimi Sen,0
277,Dhoom,2004,6.7,na,UA,"18,463",129 min,"Action, Crime, Drama            ",Sanjay Gadhvi,Abhishek Bachchan,John Abraham,Uday Chopra,Esha Deol,$0.25M
278,Mujhse Shaadi Karogi,2004,6.7,na,UA,"13,847",163 min,"Comedy, Romance            ",David Dhawan,Salman Khan,Akshay Kumar,Priyanka Chopra,Amrish Puri,0
279,Everyone Says I Love You,1996,6.7,na,R,"35,668",101 min,"Comedy, Musical, Romance            ",Woody Allen,Woody Allen,Goldie Hawn,Julia Roberts,Edward Norton,$9.71M
280,Dil Bechara,2020,6.6,na,12+,"113,156",101 min,"Comedy, Drama, Romance            ",Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Saswata Chatterjee,0
281,Kedarnath,2018,6.6,na,UA,"10,595",116 min,"Drama, Romance            ",Abhishek Kapoor,Sushant Singh Rajput,Sara Ali Khan,Nitish Bharadwaj,Alka Amin,$0.90M
282,The Second Best Exotic Marigold Hotel,2015,6.6,51,PG,"31,790",122 min,"Comedy, Drama, Romance            ",John Madden,Judi Dench,Maggie Smith,Bill Nighy,Dev Patel,$33.08M
283,Go Goa Gone,2013,6.6,na,A,"11,619",108 min,"Action, Adventure, Comedy            ",Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Kunal Khemu,Vir Das,$0.30M
284,Wanted,I) (,6.6,na,A,"19,068",147 min,"Action, Comedy, Crime            ",Prabhu Deva,Salman Khan,Ayesha Takia,Vinod Khanna,Govind Namdeo,0
285,No Entry,2005,6.6,na,U,"10,787",158 min,"Comedy, Drama, Musical            ",Anees Bazmee,Anil Kapoor,Fardeen Khan,Salman Khan,Bipasha Basu,$0.68M
286,Chalte Chalte,2003,6.6,na,U,"14,620",167 min,"Drama, Romance            ",Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora,Satish Shah,$0.84M
287,Bend It Like Beckham,2002,6.6,66,U,"105,118",112 min,"Comedy, Drama, Romance            ",Gurinder Chadha,Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers,Anupam Kher,$32.54M
288,Octopussy,1983,6.6,63,UA,"96,771",131 min,"Action, Adventure, Thriller            ",John Glen,Roger Moore,Maud Adams,Louis Jourdan,Kristina Wayborn,$67.90M
289,Mission Mangal,2019,6.5,na,U,"11,993",130 min,"Drama, History            ",Jagan Shakti,Akshay Kumar,Vidya Balan,Taapsee Pannu,Sonakshi Sinha,$3.60M
290,War,2019,6.5,na,UA,"19,987",154 min,"Action, Thriller            ",Siddharth Anand,Hrithik Roshan,Tiger Shroff,Vaani Kapoor,Ashutosh Rana,0
291,Brothers,I) (,6.5,na,UA,"11,824",156 min,"Action, Drama, Sport            ",Karan Malhotra,Akshay Kumar,Sidharth Malhotra,Jackie Shroff,Jacqueline Fernandez,$0.27M
292,Ek Villain,2014,6.5,na,UA,"16,825",129 min,"Action, Crime, Drama            ",Mohit Suri,Sidharth Malhotra,Shraddha Kapoor,Riteish Deshmukh,Shaad Randhawa,$0.41M
293,Mowgli,2018,6.5,51,13,"57,321",104 min,"Adventure, Drama, Fantasy            ",Andy Serkis,Christian Bale,Cate Blanchett,Benedict Cumberbatch,Naomie Harris,0
294,Dostana,2008,6.5,na,NA ,"13,989",145 min,"Comedy, Drama, Romance            ",Tarun Mansukhani,Abhishek Bachchan,John Abraham,Priyanka Chopra,Kirron Kher,$1.24M
295,Paheli,2005,6.5,na,U,"12,592",140 min,"Comedy, Drama, Fantasy            ",Amol Palekar,Shah Rukh Khan,Rani Mukerji,Anupam Kher,Naseeruddin Shah,$1.41M
296,Dhoom:2,2006,6.5,na,UA,"24,194",152 min,"Action, Crime, Thriller            ",Sanjay Gadhvi,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan,Uday Chopra,$2.64M
297,Asoka,2001,6.5,na,16,"13,358",180 min,"Action, Biography, Drama            ",Santosh Sivan,Shah Rukh Khan,Kareena Kapoor,Danny Denzongpa,Hrishitaa Bhatt,$0.70M
298,Chhalaang,2020,6.4,na,13,"15,427",136 min,"Comedy, Drama            ",Hansal Mehta,Rajkummar Rao,Nushrat Bharucha,Mohd. Zeeshan Ayyub,Saurabh Shukla,0
299,The BFG,2016,6.4,66,UA,"78,883",117 min,"Adventure, Family, Fantasy            ",Steven Spielberg,Mark Rylance,Ruby Barnhill,Penelope Wilton,Jemaine Clement,$55.48M
300,Goliyon Ki Rasleela Ram-Leela,2013,6.4,na,UA,"18,895",150 min,"Drama, Musical, Romance            ",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Supriya Pathak,Sharad Kelkar,$2.67M
301,Ajab Prem Ki Ghazab Kahani,2009,6.4,na,U,"12,894",150 min,"Action, Comedy, Romance            ",Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Darshan Jariwala,Smita Jaykar,0
302,Bhagam Bhag,2006,6.4,na,U,"11,289",157 min,"Comedy, Drama, Romance            ",Priyadarshan,Akshay Kumar,Govinda,Paresh Rawal,Lara Dutta,$0.65M
303,Krrish,2006,6.4,68,U,"18,676",185 min,"Action, Adventure, Sci-Fi            ",Rakesh Roshan,Hrithik Roshan,Priyanka Chopra,Rekha,Naseeruddin Shah,0
304,Cocktail,2012,6.3,na,UA,"13,387",146 min,"Comedy, Drama, Romance            ",Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty,Dimple Kapadia,$1.03M
305,Tomb Raider,2018,6.3,48,UA,"193,609",119 min,"Action, Adventure, Fantasy            ",Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu,$58.25M
306,Gulabo Sitabo,2020,6.3,na,13,"11,016",124 min,"Comedy, Drama            ",Shoojit Sircar,Amitabh Bachchan,Ayushmann Khurrana,Vijay Raaz,Brijendra Kala,0
307,2.0,2018,6.2,na,UA,"21,450",148 min,"Action, Sci-Fi            ",S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,Adil Hussain,$5.57M
308,Kabali,2016,6.2,na,U,"11,655",153 min,"Action, Crime, Drama            ",Pa. Ranjith,Rajinikanth,Winston Chao,Radhika Apte,Dhansika,0
309,Dabangg,2010,6.2,na,UA,"28,114",126 min,"Action, Comedy            ",Abhinav Kashyap,Salman Khan,Sonakshi Sinha,Sonu Sood,Arbaaz Khan,$4.63M
310,Billu,2009,6.2,na,U,"10,879",137 min,"Comedy, Drama            ",Priyadarshan,Irrfan Khan,Lara Dutta,Om Puri,Asrani,$0.75M
311,Bride & Prejudice,2004,6.2,55,U,"20,042",122 min,"Comedy, Drama, Musical            ",Gurinder Chadha,Martin Henderson,Aishwarya Rai Bachchan,Nadira Babbar,Anupam Kher,$6.60M
312,Badrinath Ki Dulhania,2017,6.1,na,UA,"10,609",139 min,"Comedy, Drama, Romance            ",Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid,Swanand Kirkire,$1.99M
313,Kites,I) (,6.1,62,UA,"12,484",123 min,"Action, Drama, Romance            ",Anurag Basu,Hrithik Roshan,Bárbara Mori,Kangana Ranaut,Steven Michael Quezada,$1.60M
314,Bachna Ae Haseeno,2008,6.1,na,UA,"10,533",152 min,"Comedy, Drama, Romance            ",Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu,Minissha Lamba,$0.69M
315,The Sorcerer's Apprentice,2010,6.1,46,PG,"154,400",109 min,"Action, Adventure, Family            ",Jon Turteltaub,Nicolas Cage,Jay Baruchel,Alfred Molina,Teresa Palmer,$63.15M
316,Kabhi Alvida Naa Kehna,2006,6.1,na,UA,"18,529",193 min,"Drama, Romance            ",Karan Johar,Shah Rukh Khan,Rani Mukerji,Amitabh Bachchan,Abhishek Bachchan,$3.28M
317,Liu lang di qiu,2019,6.0,57,NA ,"27,508",125 min,"Action, Sci-Fi            ",Frant Gwo,Jing Wu,Chuxiao Qu,Guangjie Li,Man-Tat Ng,$5.88M
318,Humpty Sharma Ki Dulhania,2014,6.0,na,UA,"11,515",133 min,"Comedy, Drama, Romance            ",Shashank Khaitan,Varun Dhawan,Alia Bhatt,Ashutosh Rana,Siddharth Shukla,$0.38M
319,Chennai Express,2013,6.0,45,UA,"49,418",141 min,"Action, Adventure, Comedy            ",Rohit Shetty,Deepika Padukone,Shah Rukh Khan,Sathyaraj,Nikitin Dheer,$5.31M
320,Heyy Babyy,2007,6.0,na,UA,"13,474",144 min,"Comedy, Drama            ",Sajid Khan,Akshay Kumar,Fardeen Khan,Riteish Deshmukh,Vidya Balan,$1.21M
321,Tiger Zinda Hai,2017,5.9,na,UA,"22,328",161 min,"Action, Adventure, Thriller            ",Ali Abbas Zafar,Salman Khan,Katrina Kaif,Anupriya Goenka,Paresh Rawal,$5.56M
322,Around the World in 80 Days,2004,5.9,49,7,"85,918",120 min,"Action, Adventure, Comedy            ",Frank Coraci,Jackie Chan,Steve Coogan,Jim Broadbent,Kathy Bates,$24.01M
323,Holy Smoke,1999,5.9,57,R,"14,015",115 min,"Comedy, Drama            ",Jane Campion,Kate Winslet,Harvey Keitel,Julie Hamilton,Sophie Lee,$1.76M
324,Ae Dil Hai Mushkil,2016,5.8,40,UA,"21,349",158 min,"Drama, Music, Musical            ",Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma,Fawad Khan,$4.24M
325,MSG: The Messenger of God,2015,5.8,na,U,"11,175",197 min,"Action, Comedy, Drama            ",Jeetu Arora,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Daniel Kaleb,Flora Saini,0
326,2012,I) (,5.8,49,UA,"357,101",158 min,"Action, Adventure, Sci-Fi            ",Roland Emmerich,John Cusack,Thandiwe Newton,Chiwetel Ejiofor,Amanda Peet,$166.11M
327,Simmba,2018,5.7,na,UA,"15,043",158 min,"Action, Comedy, Crime            ",Rohit Shetty,Sam Nagar,Ranveer Singh,Sara Ali Khan,Sonu Sood,$5.08M
328,Mohenjo Daro,2016,5.7,39,UA,"10,720",155 min,"Action, Adventure, Drama            ",Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi,Arunoday Singh,$1.25M
329,Rowdy Rathore,2012,5.7,na,UA,"20,702",140 min,"Action, Comedy            ",Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar,Yashpal Sharma,$0.78M
330,Desi Boyz,2011,5.7,na,A,"13,064",122 min,"Comedy, Drama            ",Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone,Chitrangda Singh,$1.07M
331,Singh Is Kinng,2008,5.7,na,U,"14,353",135 min,"Action, Comedy, Crime            ",Anees Bazmee,Akshay Kumar,Katrina Kaif,Om Puri,Kirron Kher,0
332,Partner,2007,5.7,na,UA,"11,294",155 min,"Comedy, Drama, Romance            ",David Dhawan,Salman Khan,Govinda,Lara Dutta,Katrina Kaif,$1.06M
333,The Accidental Husband,2008,5.6,14,PG-13,"23,433",90 min,"Comedy, Romance            ",Griffin Dunne,Uma Thurman,Jeffrey Dean Morgan,Justina Machado,Colin Firth,0
334,Bang Bang,I) (,5.5,na,UA,"22,154",153 min,"Action, Adventure, Comedy            ",Siddharth Anand,Hrithik Roshan,Katrina Kaif,Pawan Malhotra,Danny Denzongpa,$2.55M
335,Pixels,2015,5.5,27,PG-13,"133,594",105 min,"Action, Comedy, Fantasy            ",Chris Columbus,Adam Sandler,Kevin James,Michelle Monaghan,Peter Dinklage,$78.75M
336,Ek Tha Tiger,2012,5.5,na,UA,"29,326",132 min,"Action, Romance, Thriller            ",Kabir Khan,Salman Khan,Katrina Kaif,Girish Karnad,Roshan Seth,$2.35M
337,Zero,III),5.4,na,UA,"23,974",164 min,"Comedy, Drama, Romance            ",Aanand L. Rai,Shah Rukh Khan,Anushka Sharma,Katrina Kaif,Mohd. Zeeshan Ayyub,0
338,Dhoom:3,2013,5.4,61,UA,"43,463",172 min,"Action, Crime, Thriller            ",Vijay Krishna Acharya,Aamir Khan,Katrina Kaif,Abhishek Bachchan,Uday Chopra,$8.03M
339,Housefull,2010,5.4,na,UA,"12,946",144 min,Comedy            ,Sajid Khan,Akshay Kumar,Deepika Padukone,Riteish Deshmukh,Lara Dutta,$1.17M
340,Jab Harry Met Sejal,2017,5.3,na,UA,"18,924",143 min,"Comedy, Drama, Romance            ",Imtiaz Ali,Shah Rukh Khan,Anushka Sharma,Björn Freiberg,Martavious Gayles,$1.28M
341,The Other Side of the Door,2016,5.3,41,R,"17,257",96 min,Horror            ,Johannes Roberts,Sarah Wayne Callies,Jeremy Sisto,Sofia Rosinsky,Logan Creran,$2.99M
342,Kick,2014,5.3,na,UA,"24,287",146 min,"Action, Comedy, Crime            ",Sajid Nadiadwala,Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui,Randeep Hooda,$2.46M
343,Student of the Year,2012,5.3,na,UA,"15,717",146 min,"Comedy, Drama, Music            ",Karan Johar,Alia Bhatt,Sidharth Malhotra,Varun Dhawan,Rishi Kapoor,$0.33M
344,Geostorm,2017,5.3,21,UA,"97,049",109 min,"Action, Sci-Fi, Thriller            ",Dean Devlin,Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara,$33.70M
345,Housefull 2,2012,5.3,na,UA,"13,361",145 min,"Action, Comedy, Musical            ",Sajid Khan,Akshay Kumar,John Abraham,Asin Thottumkal,Jacqueline Fernandez,$1.50M
346,A Good Day to Die Hard,2013,5.3,28,UA,"199,551",98 min,"Action, Thriller            ",John Moore,Bruce Willis,Jai Courtney,Sebastian Koch,Mary Elizabeth Winstead,$67.35M
347,Race 2,2013,5.3,na,UA,"15,345",150 min,"Action, Crime, Thriller            ",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Anil Kapoor,John Abraham,$1.58M
348,Gunjan Saxena: The Kargil Girl,2020,5.3,na,13,"24,821",112 min,"Action, Biography, Drama            ",Sharan Sharma,Janhvi Kapoor,Pankaj Tripathi,Angad Bedi,Manav Vij,0
349,The Guru,2002,5.3,47,R,"14,815",94 min,"Comedy, Music, Romance            ",Daisy von Scherler Mayer,Jimi Mistry,Heather Graham,Marisa Tomei,Michael McKean,$3.03M
